File,Verified,Has Metadata,Signer ID,Timestamp,Model ID,Format
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\compliance_documents\compliance_documents_1.txt,True,True,compliance-dept,,audit-report-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\compliance_documents\compliance_documents_4.txt,True,True,compliance-dept,,compliance-check-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\external_documents\external_documents_2.txt,True,True,untrusted-source,,external-report-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\external_documents\external_documents_3.txt,True,True,untrusted-source,,external-report-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\external_documents\external_documents_5.txt,True,True,untrusted-source,,external-report-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\financial_reports\financial_reports_1_tampered.txt,False,True,encypherai-official,,financial-report-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\financial_reports\financial_reports_3.txt,True,True,compliance-dept,,quarterly-statement-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\financial_reports\financial_reports_4.txt,True,True,compliance-dept,,financial-report-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\financial_reports\financial_reports_5_tampered.txt,False,True,compliance-dept,,quarterly-statement-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\financial_reports\no_metadata_1.txt,False,False,,,,
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\README.md,False,False,,,,
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\research_documents\research_documents_2.txt,True,True,encypherai-official,,research-paper-v1,basic
c:\Users\eriks\encypherai-commercial\dashboard_app\examples\files\research_documents\research_documents_5_tampered.txt,False,True,research-team,,experiment-results-v1,basic
