File,Verified,Has Metadata,Signer ID,Timestamp,Model ID,Format
dashboard_app\examples\files\compliance_documents\compliance_documents_1.pdf,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_1.txt,True,True,compliance-dept,,audit-report-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_2.docx,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_2.pdf,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_3.docx,True,True,compliance-dept,,audit-report-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_3_tampered.pdf,True,True,compliance-dept,,audit-report-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_4.docx,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_4.txt,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_5.pdf,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\compliance_documents_5.txt,True,True,compliance-dept,,compliance-check-v1,basic
dashboard_app\examples\files\compliance_documents\no_metadata_3.pdf,False,False,,,,
dashboard_app\examples\files\external_documents\external_documents_1.pdf,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_1.txt,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_2.txt,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_3.docx,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_3.txt,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_4.pdf,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_4_tampered.pdf,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_5.docx,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\external_documents_5.txt,True,True,untrusted-source,,external-report-v1,basic
dashboard_app\examples\files\external_documents\no_metadata_1.pdf,False,False,,,,
dashboard_app\examples\files\financial_reports\financial_reports_1.docx,True,True,compliance-dept,,quarterly-statement-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_1_tampered.txt,True,True,encypherai-official,,financial-report-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_2.pdf,True,True,compliance-dept,,financial-report-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_2_tampered.docx,True,True,compliance-dept,,financial-report-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_3.pdf,True,True,compliance-dept,,financial-report-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_3.txt,True,True,compliance-dept,,quarterly-statement-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_4.txt,True,True,compliance-dept,,financial-report-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_4_tampered.docx,True,True,compliance-dept,,quarterly-statement-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_5_tampered.pdf,True,True,encypherai-official,,quarterly-statement-v1,basic
dashboard_app\examples\files\financial_reports\financial_reports_5_tampered.txt,True,True,compliance-dept,,quarterly-statement-v1,basic
dashboard_app\examples\files\financial_reports\no_metadata_1.txt,False,False,,,,
dashboard_app\examples\files\README.md,False,False,,,,
dashboard_app\examples\files\research_documents\no_metadata_2.pdf,False,False,,,,
dashboard_app\examples\files\research_documents\no_metadata_3.pdf,False,False,,,,
dashboard_app\examples\files\research_documents\research_documents_1.pdf,True,True,research-team,,experiment-results-v1,basic
dashboard_app\examples\files\research_documents\research_documents_1_tampered.pdf,True,True,research-team,,research-paper-v1,basic
dashboard_app\examples\files\research_documents\research_documents_2.txt,True,True,encypherai-official,,research-paper-v1,basic
dashboard_app\examples\files\research_documents\research_documents_2_tampered.txt,True,True,encypherai-official,,experiment-results-v1,basic
dashboard_app\examples\files\research_documents\research_documents_3.pdf,True,True,encypherai-official,,experiment-results-v1,basic
dashboard_app\examples\files\research_documents\research_documents_3_tampered.pdf,True,True,research-team,,research-paper-v1,basic
dashboard_app\examples\files\research_documents\research_documents_4.pdf,True,True,encypherai-official,,research-paper-v1,basic
dashboard_app\examples\files\research_documents\research_documents_4.txt,True,True,research-team,,experiment-results-v1,basic
dashboard_app\examples\files\research_documents\research_documents_5.docx,True,True,encypherai-official,,experiment-results-v1,basic
dashboard_app\examples\files\research_documents\research_documents_5_tampered.txt,True,True,research-team,,experiment-results-v1,basic
