Top pages,Clicks,Impressions,CTR,Position
https://encypherai.com/,97,1404,6.91%,7.19
https://encypherai.com/blog/ai-plagiarism-detection-is-broken-heres-how-we-fix-it,23,5910,0.39%,9.78
https://encypherai.com/company,11,1190,0.92%,4.49
https://docs.encypherai.com/package/api-reference/metadata-encoder/,7,154,4.55%,6.91
https://docs.encypherai.com/package/user-guide/c2pa-relationship/,3,1656,0.18%,7.61
https://encypherai.com/tools,3,285,1.05%,3.74
https://encypherai.com/blog,2,1113,0.18%,8.04
https://encypherai.com/solutions/publishers,2,348,0.57%,4.44
https://encypherai.com/pricing,2,337,0.59%,6.15
https://encypherai.com/blog/what-if-ai-content-came-with-built-in-proof-of-origin,2,264,0.76%,5.48
https://docs.encypherai.com/package/examples/c2pa_text_demo/,2,46,4.35%,7.13
https://docs.encypherai.com/package/integration/litellm/,1,583,0.17%,18.58
https://docs.encypherai.com/package/api-reference/c2pa_interop/,1,468,0.21%,8.69
https://encypherai.com/solutions,1,340,0.29%,2.66
https://encypherai.com/licensing,1,236,0.42%,6.7
https://encypherai.com/blog/industry-veterans-call-new-web-authentication-technology-magical-as-content-and-ai-companies-unite-on-universal-standard,1,192,0.52%,8.24
https://docs.encypherai.com/,1,123,0.81%,4.46
https://docs.encypherai.com/package/examples/basic_text_embedding/,1,104,0.96%,9.14
https://docs.encypherai.com/package/integration/anthropic/,1,89,1.12%,14.67
https://encypherai.com/blog/encypherai-joins-c2pa-task-force---advancing-content-provenance-for-ai-generated-text,1,61,1.64%,6.8
https://docs.encypherai.com/package/streaming/handlers/,1,55,1.82%,7.18
https://encypherai.com/blog/the-ai-copyright-wars-are-here-a-technical-peace-treaty-is-the-only-way-forward,1,44,2.27%,6.64
https://encypherai.com/tools/decode,1,15,6.67%,9.13
https://docs.encypherai.com/package/examples/fastapi/,0,536,0%,15.18
https://encypherai.com/blog/the-evidence-crisis-in-ai-copyright-litigation,0,348,0%,6.15
https://docs.encypherai.com/package/integration/fastapi/,0,346,0%,13.26
https://encypherai.com/solutions/enterprises,0,230,0%,16.08
https://docs.encypherai.com/package/getting-started/installation/,0,197,0%,9.29
https://encypherai.com/solutions/ai-companies,0,174,0%,3.92
https://docs.encypherai.com/package/examples/streamlit/,0,161,0%,13.76
https://docs.encypherai.com/package/user-guide/extraction-verification/,0,151,0%,8.28
https://docs.encypherai.com/package/user-guide/metadata-encoding/,0,145,0%,9.43
https://docs.encypherai.com/package/user-guide/tamper-detection/,0,134,0%,8.34
https://docs.encypherai.com/package/changelog/,0,133,0%,9.53
https://docs.encypherai.com/package/,0,107,0%,3.83
https://encypherai.com/publisher-demo,0,100,0%,8.08
https://encypherai.com/ai-demo,0,73,0%,6.22
https://encypherai.com/ai-detector,0,69,0%,4.19
https://encypherai.com/platform,0,65,0%,4.4
https://docs.encypherai.com/package/examples/youtube-demo/,0,61,0%,7.52
https://encypherai.com/ai-copyright-infringement,0,44,0%,6.36
https://docs.encypherai.com/package/user-guide/basic-usage/,0,43,0%,5.3
https://encypherai.com/deepfake-detection,0,40,0%,6.17
https://encypherai.com/auth/register?mode=signin,0,39,0%,3.64
https://docs.encypherai.com/package/examples/jupyter/,0,38,0%,18.92
https://encypherai.com/auth/register,0,27,0%,5
https://docs.encypherai.com/package/getting-started/quickstart/,0,27,0%,7.11
https://docs.encypherai.com/package/api-reference/streaming-metadata-encoder/,0,27,0%,14.07
https://docs.encypherai.com/package/licensing/,0,26,0%,24.73
https://docs.encypherai.com/package/examples/advanced-usage/,0,23,0%,8.52
https://encypherai.com/blog?tag=ContentProvenance,0,18,0%,6.06
https://docs.encypherai.com/package/user-guide/streaming/,0,16,0%,9.38
https://docs.encypherai.com/package/integration/openai/,0,16,0%,14.56
https://encypherai.com/tools/sign-verify,0,14,0%,2.43
https://docs.encypherai.com/package/examples/,0,14,0%,5.29
https://encypherai.com/blog?tag=AI Detection,0,9,0%,6.44
https://encypherai.com/tools/verify,0,8,0%,2.12
https://encypherai.com/blog?tag=Metadata,0,8,0%,11.88
https://docs.encypherai.com/package/contributing/,0,6,0%,11.17
https://docs.encypherai.com/package/user-guide/migration-guide/,0,5,0%,6.8
https://encypherai.com/blog/a-digitial-fingerprint,0,5,0%,7
https://encypherai.com/ai-demo/embed,0,5,0%,10.2
https://encypherai.com/blog?tag=ResponsibleAI,0,4,0%,7.5
https://encypherai.com/blog?tag=C2PA,0,3,0%,3.67
https://encypherai.com/tools/encode-decode,0,3,0%,6.33
https://encypherai.com/blog?tag=Trust,0,2,0%,2
https://encypherai.com/blog?tag=Plagiarism,0,2,0%,2.5
https://encypherai.com/demo,0,2,0%,3.5
https://encypherai.com/blog?tag=AICompliance,0,2,0%,4
https://docs.encypherai.com/package/api-reference/unicode-metadata/,0,2,0%,5
https://encypherai.com/blog?tag=AIethics,0,1,0%,5
https://encypherai.com/blog?tag=Transparency,0,1,0%,8
https://encypherai.com/blog?tag=Verification,0,1,0%,10
https://encypherai.com/blog?tag=LLM,0,1,0%,12
