Top queries,Clicks,Impressions,CTR,Position
encypher,64,414,15.46%,2.17
encipher ai,1,87,1.15%,4.39
ai detection doesn't work,1,1,100%,50
ai content detector false positive fix,0,124,0%,6.69
c2pa specification 2.3,0,116,0%,7.77
encipher,0,96,0%,55.23
metadata encoder,0,41,0%,6.61
typetruth ai detector abandoned,0,32,0%,7.09
c2pa technical specification 2.3,0,30,0%,7.17
c2pa cose signatures,0,26,0%,7.38
securdps enterprise,0,24,0%,97.83
c2pa certificate cost $289,0,19,0%,10
"""from fastapi.middleware.base import basehttpmiddleware""",0,18,0%,4.78
false positives in ai watermark detection,0,16,0%,8.06
how to use litellm,0,16,0%,73.62
how to fix ai detection,0,12,0%,35
demo publisher,0,11,0%,21
litellm docs,0,11,0%,39.45
content provenance,0,11,0%,87.45
c2pa ed25519 support,0,10,0%,4.6
c2pa specification 2.3 content provenance standard,0,10,0%,8.3
encypherai github,0,8,0%,7.25
bbc nyt c2pa pilots,0,8,0%,7.38
litellm responses api,0,8,0%,34
litellm api,0,8,0%,34.88
c2pa specification 2.3 provenance standard,0,7,0%,5.86
c2pa hash algorithm sha-256,0,7,0%,7.14
encyphers company,0,7,0%,8.14
litellm api key,0,7,0%,29.43
what is a false positive in character ai,0,7,0%,58.71
c2pa hashing algorithm sha-256,0,6,0%,7.83
ai text detectors unreliable false positives,0,6,0%,8.33
litellm openai,0,6,0%,48
cypher ai,0,6,0%,90.83
c2pa 2.3 specification,0,5,0%,6
c2pa,0,5,0%,9.2
c2pa specification 2.3 release date,0,5,0%,9.4
litellm gpt-5,0,5,0%,42
litellm install,0,5,0%,44.6
can ai be detected for plagiarism,0,5,0%,66.4
c2pa specification v2.3,0,4,0%,7.25
from litellm import completion,0,4,0%,7.25
"""new york times"" openai copyright infringement training data statistical 
evidence or membership inference",0,4,0%,9.75
turnitin ai writing detection false positives statement,0,4,0%,11
pycose,0,4,0%,14
litellm pip,0,4,0%,51
pip install litellm,0,4,0%,57.5
is ai generated text plagiarism,0,4,0%,91.75
turnitin subscription price,0,3,0%,1
encypherai python package ai detection,0,3,0%,2
encypherai github ai detection,0,3,0%,4
encypherai python package github,0,3,0%,4
encipher company,0,3,0%,8.67
publisher demo,0,3,0%,8.67
ai content detectors unreliable false positives,0,3,0%,9.67
"""c2pa.hash.data"" c2pa",0,3,0%,10
c2pa api,0,3,0%,20
litellm environment variables,0,3,0%,38.67
install litellm,0,3,0%,45
how to install litellm,0,3,0%,45.67
can ai checkers be wrong,0,3,0%,46.67
c2pa manifest,0,3,0%,49
pip install anthropic,0,3,0%,60.33
can ai detection be wrong,0,3,0%,70
encypherai,0,2,0%,1
"what can i say if i am trying ti make a video from a picture that keeps 
getting flagged to bit be flagged",0,2,0%,1
encypherai open source github,0,2,0%,5
"c2pa ""c2pa.hash.data""",0,2,0%,7.5
ai detectors false positives esl students,0,2,0%,8.5
fix false positive ai detection,0,2,0%,9
pycose requirements cryptography,0,2,0%,9.5
c2pa soft binding api specification,0,2,0%,10
ai detectors unreliable false positives negatives,0,2,0%,11
falsely flagged for ai,0,2,0%,11
litellm userapikeyauth fields,0,2,0%,11
litellm_provider,0,2,0%,11
videos showing ai plagiarism checkers not working,0,2,0%,11
why ai content fails originality checks,0,2,0%,18
fastapi apikeyheader example,0,2,0%,19.5
litellm documentation,0,2,0%,26
litellm api docs,0,2,0%,31.5
digicert c2pa,0,2,0%,32
litellm responses,0,2,0%,32.5
what if an ai detector is wrong,0,2,0%,39.5
what to do if ai detector is wrong,0,2,0%,39.5
fastapi staticfiles directory does not exist error,0,2,0%,41
why do ai checkers not work,0,2,0%,41.5
litellm vector store,0,2,0%,42.5
litellm sdk,0,2,0%,47.5
litellm providers,0,2,0%,48
litellm supported models,0,2,0%,49.5
pip litellm,0,2,0%,55.5
litellm openai compatible,0,2,0%,59.5
ai detector wrong,0,2,0%,60
litellm client,0,2,0%,61
ai checkers inaccurate,0,2,0%,76
best litellm tutorials,0,2,0%,84.5
released under the agpl. source code available.,0,2,0%,86
litellm python sdk,0,2,0%,91.5
litellm library,0,2,0%,94.5
ai image decoder,0,1,0%,1
chimera tool 1 day activation,0,1,0%,1
content proof,0,1,0%,1
low scores have a higher likelihood of false positives turnitin,0,1,0%,1
ross intelligence,0,1,0%,1
was this generated by ai,0,1,0%,1
encypherai open source ai detector,0,1,0%,2
encypherai python package,0,1,0%,2
uv install litellm,0,1,0%,2
encypherai github open source ai detection,0,1,0%,3
ai watermark detection false positives negatives,0,1,0%,4
c2pa custom assertions extensibility,0,1,0%,5
encypherai github open source ai detector,0,1,0%,5
почему ошибка?,0,1,0%,5
c2pa certificate cost,0,1,0%,6
c2pa for text,0,1,0%,7
how long usually?,0,1,0%,7
openai ai text classifier not reliable blog,0,1,0%,7
ai detectors might still flag your text with the basic public model,0,1,0%,8
ai detectors unreliable false positives,0,1,0%,8
c2pa specification v2.3 official,0,1,0%,8
watermark chalk & wire turnitin integration ai detection,0,1,0%,8
youtubedemo,0,1,0%,8
c2pa 2.3 release date,0,1,0%,9
c2pa specification version 2.3 release date,0,1,0%,9
c2pa version 2.3 release date,0,1,0%,9
enciphering,0,1,0%,9
litellm pre_call_hook configuration,0,1,0%,9
stanford study ai detectors unreliable false positives non-native english,0,1,0%,9
ai detectors false positives on academic writing,0,1,0%,10
c2pa technical specification v2.3,0,1,0%,10
litellm pre_call_hook signature,0,1,0%,10
"our ai detector flags text that may be ai-generated. use your best judgment 
when reviewing results. never rely on ai detection alone to make decisions 
that could impact someone's career or academic standing.",0,1,0%,10
ai detector doesn't work,0,1,0%,11
c2pa specification version 2.3 official,0,1,0%,11
fastapi apikeyheader documentation,0,1,0%,11
pypi pycose package,0,1,0%,11
stanford study ai text detectors unreliable,0,1,0%,11
"who makes the best cryptographic consent receipts for content authenticity 
tools?",0,1,0%,11
c2pa cbor,0,1,0%,12
openai ai text classifier discontinued unreliable,0,1,0%,12
litellm exceptions,0,1,0%,17
adarsh bhatt linkedin comma capital,0,1,0%,19
compliance-first enterprise aai platforms,0,1,0%,20
compliance-first enterprise ai platforms,0,1,0%,20
fix ai flagged content,0,1,0%,20
litellm supported providers,0,1,0%,23
unsafe_allow_html=true,0,1,0%,25
recypher,0,1,0%,28
c2pa merkle tree,0,1,0%,31
fix ai detected text,0,1,0%,31
get hivenet jupyter notebook,0,1,0%,32
ai detectors do not work,0,1,0%,33
